ObecnÌ kÛd,N·zev obce,RegistrovanÌ voliËi,VydanÈ ob·lky,PlatnÈ hlasy,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,Referendum o EvropskÈ unii,TOP 09,ANO 2011,Dobr· volba 2016,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
585661,Provodov,647,463,461,"7,59 %","0,00 %","0,00 %","4,12 %","0,00 %","6,29 %","4,33 %","0,86 %","0,43 %","2,16 %","0,00 %","0,00 %","6,72 %","0,00 %","2,60 %","29,50 %","0,00 %","0,00 %","24,29 %","0,43 %","0,00 %","0,21 %","9,76 %","0,65 %"
585670,Rackov·,628,443,437,"9,61 %","0,68 %","0,00 %","5,49 %","0,00 %","5,72 %","6,40 %","0,91 %","0,22 %","1,83 %","0,68 %","0,00 %","9,15 %","0,45 %","4,11 %","27,68 %","0,00 %","0,00 %","11,44 %","1,60 %","0,45 %","0,22 %","12,35 %","0,91 %"
556980,Rokytnice,488,290,290,"4,82 %","0,00 %","0,00 %","8,96 %","0,00 %","6,89 %","7,24 %","1,72 %","0,68 %","1,37 %","0,00 %","0,00 %","5,86 %","0,00 %","0,68 %","27,24 %","0,00 %","0,00 %","14,48 %","9,31 %","0,00 %","0,00 %","10,34 %","0,34 %"
586919,Rudimov,205,148,148,"11,48 %","0,00 %","0,00 %","4,05 %","0,00 %","9,45 %","5,40 %","0,00 %","0,67 %","0,67 %","0,00 %","0,00 %","13,51 %","1,35 %","0,67 %","20,94 %","0,00 %","0,00 %","12,16 %","4,05 %","0,00 %","0,00 %","15,54 %","0,00 %"
585726,Sazovice,590,410,407,"7,37 %","0,24 %","0,00 %","6,87 %","0,00 %","4,17 %","2,70 %","0,98 %","0,49 %","0,24 %","0,00 %","0,24 %","5,89 %","0,24 %","2,21 %","36,36 %","0,00 %","0,49 %","16,95 %","0,73 %","0,24 %","0,00 %","11,05 %","2,45 %"
585734,Sehradice,575,392,390,"5,12 %","0,51 %","0,00 %","8,46 %","0,00 %","5,38 %","3,84 %","0,00 %","0,25 %","0,76 %","0,25 %","0,00 %","7,17 %","0,25 %","0,76 %","23,58 %","0,51 %","0,00 %","24,10 %","0,76 %","0,00 %","0,00 %","15,38 %","2,82 %"
585751,SlaviËÌn,5 396,3 253,3 228,"8,27 %","0,34 %","0,06 %","9,35 %","0,06 %","4,92 %","8,08 %","1,23 %","0,52 %","1,54 %","0,09 %","0,03 %","8,11 %","0,09 %","2,10 %","32,06 %","0,09 %","0,18 %","11,02 %","1,33 %","0,09 %","0,09 %","9,82 %","0,43 %"
585769,SlopnÈ,455,341,341,"7,33 %","0,00 %","0,00 %","6,15 %","0,58 %","8,21 %","4,69 %","1,17 %","1,17 %","0,58 %","0,00 %","0,00 %","8,21 %","0,00 %","2,34 %","18,18 %","0,00 %","0,00 %","31,37 %","0,29 %","0,00 %","0,29 %","8,79 %","0,58 %"
585777,Sluöovice,2 348,1 474,1 454,"11,76 %","0,34 %","0,20 %","5,50 %","0,06 %","6,12 %","4,95 %","1,51 %","0,61 %","2,47 %","0,27 %","0,41 %","9,76 %","0,00 %","3,16 %","27,51 %","0,13 %","0,13 %","12,44 %","0,41 %","0,13 %","0,13 %","10,66 %","1,23 %"
585793,SpytihnÏv,1 382,924,912,"6,25 %","0,43 %","0,00 %","4,49 %","0,00 %","4,49 %","6,57 %","1,31 %","0,32 %","2,08 %","0,00 %","0,00 %","6,90 %","0,21 %","2,41 %","33,55 %","0,21 %","0,10 %","11,29 %","0,65 %","0,10 %","0,00 %","17,21 %","1,31 %"
585807,äanov,393,227,225,"6,66 %","0,00 %","0,00 %","7,11 %","0,00 %","4,44 %","11,11 %","0,44 %","0,00 %","1,33 %","0,00 %","0,00 %","4,44 %","0,00 %","1,77 %","38,22 %","0,00 %","0,44 %","14,22 %","0,00 %","0,88 %","0,44 %","8,00 %","0,44 %"
585815,äarovy,214,142,141,"12,05 %","0,70 %","0,00 %","7,09 %","0,00 %","4,96 %","4,96 %","2,12 %","0,70 %","2,12 %","0,00 %","0,00 %","12,76 %","0,00 %","1,41 %","29,78 %","0,00 %","0,00 %","4,96 %","0,70 %","0,00 %","0,00 %","15,60 %","0,00 %"
585831,ätÌtn· nad Vl·¯Ì-Popov,1 763,1 105,1 102,"7,16 %","0,00 %","0,00 %","9,16 %","0,00 %","4,99 %","4,90 %","0,90 %","0,36 %","0,99 %","0,09 %","0,45 %","6,35 %","0,00 %","1,45 %","29,67 %","0,00 %","0,00 %","23,32 %","0,99 %","0,00 %","0,18 %","8,89 %","0,09 %"
549649,TeËovice,1 020,663,660,"10,00 %","0,75 %","0,00 %","5,90 %","0,00 %","11,06 %","3,18 %","1,51 %","0,60 %","1,06 %","0,15 %","0,15 %","7,57 %","0,00 %","2,87 %","27,57 %","0,15 %","0,15 %","10,60 %","1,66 %","0,15 %","0,00 %","13,78 %","1,06 %"
535184,Tichov,245,160,159,"1,25 %","0,00 %","0,00 %","10,69 %","0,00 %","5,03 %","10,06 %","0,62 %","1,25 %","1,25 %","0,00 %","0,00 %","2,51 %","0,00 %","3,14 %","22,64 %","0,00 %","0,00 %","27,04 %","0,00 %","0,00 %","0,00 %","14,46 %","0,00 %"
